ZONA;SEXE;ANY;MES;P01;P02;P03;P04;P05;P06;P07;P08;P09;P10;P11;P12;P13;P14;P15;P16;P17;P18
43150;0;2005;J;47,42637318;73,6351577;78,31183502;84,39846517;95,49249993;134,2852791;117,5325559;94,10904598;124,4425002;104,6058478;96,31060305;117,7348671;110,1095119;91,22674292;92,62474591;99,491838;95,32256855;76,4387026
43150;0;2006;J;43,04666999;71,87323359;77,27145448;79,08305393;96,78931046;135,9310299;121,8865441;91,90019509;129,5529093;114,9197607;95,46707792;118,6893242;110,2370319;88,86424441;90,32241324;100,7739663;95,68758042;72,21882001
43150;0;2007;J;39,87867114;68,49564713;78,50151364;80,46829872;101,7423489;134,9458012;131,972311;99,56660221;124,2685536;130,3222539;93,50751293;118,1241676;115,9042323;88,23263731;88,75751701;106,3122896;87,53243918;78,8820294
43150;0;2008;J;45,6174884;64,87640694;81,40312203;81,59245725;103,6443781;128,6293013;142,1345971;107,2508532;120,6397997;126,0361605;101,4269876;106,4298926;120,2801106;97,09719521;88,55679171;102,3901659;82,95784039;90,53802756
43150;0;2009;J;55,65321017;59,59307386;81,5665293;78,17056922;103,0672346;117,3797862;137,2561297;118,1391087;112,1742603;122,3269167;109,2709707;96,56818012;119,3151266;108,7832962;88,32367411;93,75576066;83,35819394;94,74393061
43150;0;2010;J;61,94024116;60,1486099;79,50657351;79,89420016;96,92800343;106,6512551;134,0130663;129,6338965;100,9017243;130,0124698;113,3676859;94,21815971;117,7819145;113,844275;86,45443898;87,02022559;82,73030393;97,09188494
43150;0;2011;J;61,49636889;66,34077508;77,47623823;78,34601087;84,43877356;100,5997789;139,792776;131,9978232;100,9564675;139,7486583;117,241886;89,87680253;121,1494378;109,8688888;86,44274092;82,1896972;83,69019493;100,0005409
43150;1;1981;J;53,26927146;76,24621764;52,86309069;54,79328553;47,16070776;57,06381335;60,31815099;64,10434995;55,92468309;44,08803895;67,85966493;80,80721778;71,28245608;64,12737624;48,37040449;41,29015059;18,71075299;12,23846787
43150;1;1982;J;50,11881339;70,04037636;56,37436477;54,27881194;49,83032635;54,24148741;57,5664034;63,99166943;53,59518449;46,83505652;63,26787966;75,70668542;73,942454;64,50574516;48,59509717;40,95866383;18,47084067;13,08161132
43150;1;1983;J;48,00690459;64,05986753;59,11527332;53,73318792;51,06582702;52,91710486;54,80328754;64,27898282;54,59076341;46,75008202;57,83777698;71,88086098;76,49530947;64,22751978;48,41467437;40,54245105;18,13525362;14,1872278
